ID,IDside,FullfID,Species,Date,TextFile,Block,RecType,RecSide,MCSFile,ExtractedFolder,ExtractedFile,VidFile,TrackingFile,Level,Modality
"KIW","KIWR","F1504_Kiwi","F","2016-1-19","19_1_2016 level05_ATROPINE_Kiwi 10_57_BlockA-3_RHS log.txt","BlockA-3","W","R","2016-01-19T10-57_BlockA-3_RHS.h5","KIW_BlockA-3_2016-01-19T10-57","KIW_BlockA-3_2016-01-19T10-57_RHS_CX.mat","F1504_Kiwi_BlockA-3_Vid0.avi","KIW_BlockA-3_2016-01-19T10-57_RHS_position_tracking.mat",5,"atropine"
"KIW","KIWR","F1504_Kiwi","F","2016-1-25","25_1_2016 level05_ATROPINE_Kiwi 15_38_BlockA-14_RHS log.txt","BlockA-14","W","R","2016-01-25T15-38_BlockA-14_RHS.h5","KIW_BlockA-14_2016-01-25T15-38","KIW_BlockA-14_2016-01-25T15-38_RHS_CX.mat","F1504_Kiwi_BlockA-14_Vid0.avi","KIW_BlockA-14_2016-01-25T15-38_RHS_position_tracking.mat",5,"atropine"
"KIW","KIWR","F1504_Kiwi","F","2016-1-27","27_1_2016 level05_ATROPINE_Kiwi 9_43_BlockA-17_RHS log.txt","BlockA-17","W","R","2016-01-27T09-43_BlockA-17_RHS.h5","KIW_BlockA-17_2016-01-27T09-43","KIW_BlockA-17_2016-01-27T09-43_RHS_CX.mat","F1504_Kiwi_BlockA-17_Vid0.avi","KIW_BlockA-17_2016-01-27T09-43_RHS_position_tracking.mat",5,"atropine"
"ANI","ANIL","F1511_Animal","F","2016-2-16","16_2_2016 level05_ATROPINE_Animal 9_48_BlockA-19_LHS log.txt","BlockA-19","T","L","NA","ANI_BlockA-19","ANI_BlockA-19_LHS_CX.mat","F1511_Animal_BlockA-19_Vid0.avi","ANI_BlockA-19_LHS_position_tracking.mat",5,"atropine"
"ANI","ANIR","F1511_Animal","F","2016-2-24","24_2_2016 level05_ATROPINE_Animal 9_39_BlockA-33_RHS log.txt","BlockA-33","T","R","NA","ANI_BlockA-33","ANI_BlockA-33_RHS_CX.mat","F1511_Animal_BlockA-33_Vid0.avi","ANI_BlockA-33_RHS_position_tracking.mat",5,"atropine"
"ANI","ANIL","F1511_Animal","F","2016-2-22","22_2_2016 level05_ATROPINE_Animal 16_40_BlockA-30_LHS log.txt","BlockA-30","T","L","NA","ANI_BlockA-30","ANI_BlockA-30_LHS_CX.mat","F1511_Animal_BlockA-30_Vid0.avi","ANI_BlockA-30_LHS_position_tracking.mat",5,"atropine"
"ANI","ANIR","F1511_Animal","F","2016-4-20","20_4_2016 level05_ATROPINE_Animal 11_16_Block-65_RHS log.txt","Block-65","T","R","NA","ANI_Block-65","ANI_Block-65_RHS_CX.mat","F1511_Animal_Block-65_Vid0.avi","ANI_Block-65_RHS_position_tracking.mat",5,"atropine"
"ANI","ANIR","F1511_Animal","F","2016-4-22","22_4_2016 level05_ATROPINE_Animal 10_13_BlockA-72_RHS log.txt","BlockA-72","T","R","NA","ANI_BlockA-72","ANI_BlockA-72_RHS_CX.mat","F1511_Animal_BlockA-72_Vid0.avi","ANI_BlockA-72_RHS_position_tracking.mat",5,"atropine"
"ANI","ANIR","F1511_Animal","F","2016-4-27","27_4_2016 level05_ATROPINE_Animal 10_49_BlockA-76_RHS log.txt","BlockA-76","T","R","NA","ANI_BlockA-76","ANI_BlockA-76_RHS_CX.mat","F1511_Animal_BlockA-76_Vid0.avi","ANI_BlockA-76_RHS_position_tracking.mat",5,"atropine"
"ANI","ANIR","F1511_Animal","F","2016-4-29","29_4_2016 level05_ATROPINE_Animal 10_44_BlockA-79_RHS log.txt","BlockA-79","T","R","NA","ANI_BlockA-79","ANI_BlockA-79_RHS_CX.mat","F1511_Animal_BlockA-79_Vid0.avi","ANI_BlockA-79_RHS_position_tracking.mat",5,"atropine"
