ID,IDside,FullfID,Species,Date,TextFile,Block,RecType,RecSide,MCSFile,ExtractedFolder,ExtractedFile,VidFile,TrackingFile,Level,Modality
KIW,KIWL,F1504_Kiwi,F,2015-8-25,25_8_2015 level05_mixDur_Vis 10_28_Block10-36_LHS log.txt,Block10-36,W,L,2015-08-25T10-27_Block10-36_LHS.h5,KIW_Block10-36_2015-08-25T10-27,KIW_Block10-36_2015-08-25T10-27_LHS_CX.mat,F1504_Kiwi_Block10-36_Vid0.avi,KIW_Block10-36_2015-08-25T10-27_LHS_position_tracking.mat,5,V
KIW,KIWL,F1504_Kiwi,F,2015-8-25,25_8_2015 level05_mixDur_Vis 15_31_Block10-37_LHS log.txt,Block10-37,W,L,2015-08-25T15-31_Block10-37_LHS.h5,KIW_Block10-37_2015-08-25T15-31,KIW_Block10-37_2015-08-25T15-31_LHS_CX.mat,F1504_Kiwi_Block10-37_Vid0.avi,KIW_Block10-37_2015-08-25T15-31_LHS_position_tracking.mat,5,V
KIW,KIWL,F1504_Kiwi,F,2015-8-26,26_8_2015 level05_mixDur_Aud 16_15_Block10-44_LHS log.txt,Block10-44,W,L,2015-08-26T16-15_Block10-44_LHS.h5,KIW_Block10-44_2015-08-26T16-15,KIW_Block10-44_2015-08-26T16-15_LHS_CX.mat,F1504_Kiwi_Block10-44_Vid0.avi,KIW_Block10-44_2015-08-26T16-15_LHS_position_tracking.mat,5,A
KIW,KIWL,F1504_Kiwi,F,2015-8-27,27_8_2015 level06_SNR_Vis 10_7_Block10-45_LHS log.txt,Block10-45,W,L,2015-08-27T10-07_Block10-45_LHS.h5,KIW_Block10-45_2015-08-27T10-07,KIW_Block10-45_2015-08-27T10-07_LHS_CX.mat,F1504_Kiwi_Block10-45_Vid0.avi,KIW_Block10-45_2015-08-27T10-07_LHS_position_tracking.mat,6,V
KIW,KIWL,F1504_Kiwi,F,2015-8-28,28_8_2015 level06_SNR_Vis 10_33_Block10-47_LHS log.txt,Block10-47,W,L,2015-08-28T10-32_Block10-47_LHS.h5,KIW_Block10-47_2015-08-28T10-32,KIW_Block10-47_2015-08-28T10-32_LHS_CX.mat,F1504_Kiwi_Block10-47_Vid0.avi,KIW_Block10-47_2015-08-28T10-32_LHS_position_tracking.mat,6,V
KIW,KIWR,F1504_Kiwi,F,2015-9-21,21_9_2015 level05_mixDur_Aud 10_17_Block10-49_RHS log.txt,Block10-49,W,R,2015-09-21T10-17_Block10-49_RHS.h5,KIW_Block10-49_2015-09-21T10-17,KIW_Block10-49_2015-09-21T10-17_RHS_CX.mat,F1504_Kiwi_Block10-49_Vid0.avi,KIW_Block10-49_2015-09-21T10-17_RHS_position_tracking.mat,5,A
KIW,KIWR,F1504_Kiwi,F,2015-9-21,21_9_2015 level05_mixDur_Aud 14_49_Block10-50_RHS log.txt,Block10-50,W,R,2015-09-21T14-49_Block10-50_RHS.h5,KIW_Block10-50_2015-09-21T14-49,KIW_Block10-50_2015-09-21T14-49_RHS_CX.mat,F1504_Kiwi_Block10-50_Vid0.avi,KIW_Block10-50_2015-09-21T14-49_RHS_position_tracking.mat,5,A
KIW,KIWR,F1504_Kiwi,F,2015-9-22,22_9_2015 level06_SNR_Vis 9_36_Block10-51_RHS log.txt,Block10-51,W,R,2015-09-22T09-36_Block10-51_RHS.h5,KIW_Block10-51_2015-09-22T09-36,KIW_Block10-51_2015-09-22T09-36_RHS_CX.mat,F1504_Kiwi_Block10-51_Vid0.avi,KIW_Block10-51_2015-09-22T09-36_RHS_position_tracking.mat,6,V
KIW,KIWR,F1504_Kiwi,F,2015-9-22,22_9_2015 level06_SNR_Vis 14_47_Block10-52_RHS log.txt,Block10-52,W,R,2015-09-22T14-46_Block10-52_RHS.h5,KIW_Block10-52_2015-09-22T14-46,KIW_Block10-52_2015-09-22T14-46_RHS_CX.mat,F1504_Kiwi_Block10-52_Vid0.avi,KIW_Block10-52_2015-09-22T14-46_RHS_position_tracking.mat,6,V
KIW,KIWR,F1504_Kiwi,F,2015-9-23,23_9_2015 level05_mixDur_Aud 15_17_Block10-53_RHS log.txt,Block10-53,W,R,2015-09-23T15-16_Block10-53_RHS.h5,KIW_Block10-53_2015-09-23T15-16,KIW_Block10-53_2015-09-23T15-16_RHS_CX.mat,F1504_Kiwi_Block10-53_Vid0.avi,KIW_Block10-53_2015-09-23T15-16_RHS_position_tracking.mat,5,A
KIW,KIWR,F1504_Kiwi,F,2015-9-24,24_9_2015 level05_mixDur_Vis 16_13_Block10-55_RHS log.txt,Block10-55,W,R,2015-09-24T16-13_Block10-55_RHS.h5,KIW_Block10-55_2015-09-24T16-13,KIW_Block10-55_2015-09-24T16-13_RHS_CX.mat,F1504_Kiwi_Block10-55_Vid0.avi,KIW_Block10-55_2015-09-24T16-13_RHS_position_tracking.mat,5,V
KIW,KIWR,F1504_Kiwi,F,2015-9-25,25_9_2015 level06_SNR_Aud 9_59_Block10-56_RHS log.txt,Block10-56,W,R,2015-09-25T09-58_Block10-56_RHS.h5,KIW_Block10-56_2015-09-25T09-58,KIW_Block10-56_2015-09-25T09-58_RHS_CX.mat,F1504_Kiwi_Block10-56_Vid0.avi,KIW_Block10-56_2015-09-25T09-58_RHS_position_tracking.mat,6,A
KIW,KIWR,F1504_Kiwi,F,2015-9-25,25_9_2015 level06_SNR_Aud 16_16_Block10-57_RHS log.txt,Block10-57,W,R,2015-09-25T16-16_Block10-57_RHS.h5,KIW_Block10-57_2015-09-25T16-16,KIW_Block10-57_2015-09-25T16-16_RHS_CX.mat,F1504_Kiwi_Block10-57_Vid0.avi,KIW_Block10-57_2015-09-25T16-16_RHS_position_tracking.mat,6,A
KIW,KIWL,F1504_Kiwi,F,2015-11-3,3_11_2015 level06_SNR_Aud 15_46_Block10-60_LHS log.txt,Block10-60,W,L,2015-11-03T15-45_Block10-60_LHS.h5,KIW_Block10-60_2015-11-03T15-45,KIW_Block10-60_2015-11-03T15-45_LHS_CX.mat,F1504_Kiwi_Block10-60_Vid0.avi,KIW_Block10-60_2015-11-03T15-45_LHS_position_tracking.mat,6,A
KIW,KIWL,F1504_Kiwi,F,2015-11-4,4_11_2015 level06_SNR_Aud 9_47_Block10-61_LHS log.txt,Block10-61,W,L,2015-11-04T09-47_Block10-61_LHS.h5,KIW_Block10-61_2015-11-04T09-47,KIW_Block10-61_2015-11-04T09-47_LHS_CX.mat,F1504_Kiwi_Block10-61_Vid0.avi,KIW_Block10-61_2015-11-04T09-47_LHS_position_tracking.mat,6,A
KIW,KIWL,F1504_Kiwi,F,2015-11-4,4_11_2015 level06_SNR_Aud 14_39_Block10-62_LHS log.txt,Block10-62,W,L,2015-11-04T14-39_Block10-62_LHS.h5,KIW_Block10-62_2015-11-04T14-39,KIW_Block10-62_2015-11-04T14-39_LHS_CX.mat,F1504_Kiwi_Block10-62_Vid0.avi,KIW_Block10-62_2015-11-04T14-39_LHS_position_tracking.mat,6,A
KIW,KIWL,F1504_Kiwi,F,2015-11-5,5_11_2015 level06_SNR_Vis 9_40_Block10-63_LHS log.txt,Block10-63,W,L,2015-11-05T09-39_Block10-63_LHS.h5,KIW_Block10-63_2015-11-05T09-39,KIW_Block10-63_2015-11-05T09-39_LHS_CX.mat,F1504_Kiwi_Block10-63_Vid0.avi,KIW_Block10-63_2015-11-05T09-39_LHS_position_tracking.mat,6,V
KIW,KIWL,F1504_Kiwi,F,2015-11-5,5_11_2015 level06_SNR_Vis 14_58_Block10-65_LHS log.txt,Block10-65,W,L,2015-11-05T14-57_Block10-65_LHS.h5,KIW_Block10-65_2015-11-05T14-57,KIW_Block10-65_2015-11-05T14-57_LHS_CX.mat,F1504_Kiwi_Block10-65_Vid0.avi,KIW_Block10-65_2015-11-05T14-57_LHS_position_tracking.mat,6,V
KIW,KIWL,F1504_Kiwi,F,2015-11-6,6_11_2015 level05_mixDur_Aud 9_43_Block10-67_LHS log.txt,Block10-67,W,L,2015-11-06T09-42_Block10-67_LHS.h5,KIW_Block10-67_2015-11-06T09-42,KIW_Block10-67_2015-11-06T09-42_LHS_CX.mat,F1504_Kiwi_Block10-67_Vid0.avi,KIW_Block10-67_2015-11-06T09-42_LHS_position_tracking.mat,5,A
KIW,KIWL,F1504_Kiwi,F,2015-11-6,6_11_2015 level05_mixDur_Aud 15_2_Block10-68_LHS log.txt,Block10-68,W,L,2015-11-06T15-02_Block10-68_LHS.h5,KIW_Block10-68_2015-11-06T15-02,KIW_Block10-68_2015-11-06T15-02_LHS_CX.mat,F1504_Kiwi_Block10-68_Vid0.avi,KIW_Block10-68_2015-11-06T15-02_LHS_position_tracking.mat,5,A
EMU,EMUL,F1507_Emu,F,2015-9-21,21_9_2015 level05_mixDur_Aud 10_47_Block10-30_LHS log.txt,Block10-30,W,L,2015-09-21T10-47_Block10-30_LHS.h5,EMU_Block10-30_2015-09-21T10-47,EMU_Block10-30_2015-09-21T10-47_LHS_CX.mat,F1507_Emu_Block10-30_Vid0.avi,EMU_Block10-30_2015-09-21T10-47_LHS_position_tracking.mat,5,A
EMU,EMUL,F1507_Emu,F,2015-9-21,21_9_2015 level05_mixDur_Aud 15_49_Block10-31_LHS log.txt,Block10-31,W,L,2015-09-21T15-47_Block10-31_LHS.h5,EMU_Block10-31_2015-09-21T15-47,EMU_Block10-31_2015-09-21T15-47_LHS_CX.mat,F1507_Emu_Block10-31_Vid0.avi,EMU_Block10-31_2015-09-21T15-47_LHS_position_tracking.mat,5,A
EMU,EMUL,F1507_Emu,F,2015-9-22,22_9_2015 level06_SNR_Vis 10_47_Block10-32_LHS log.txt,Block10-32,W,L,2015-09-22T10-47_Block10-32_LHS.h5,EMU_Block10-32_2015-09-22T10-47,EMU_Block10-32_2015-09-22T10-47_LHS_CX.mat,F1507_Emu_Block10-32_Vid0.avi,EMU_Block10-32_2015-09-22T10-47_LHS_position_tracking.mat,6,V
EMU,EMUL,F1507_Emu,F,2015-9-22,22_9_2015 level06_SNR_Vis 15_19_Block10-34_LHS log.txt,Block10-34,W,L,2015-09-22T15-18_Block10-34_LHS.h5,EMU_Block10-34_2015-09-22T15-18,EMU_Block10-34_2015-09-22T15-18_LHS_CX.mat,F1507_Emu_Block10-34_Vid0.avi,EMU_Block10-34_2015-09-22T15-18_LHS_position_tracking.mat,6,V
EMU,EMUL,F1507_Emu,F,2015-9-23,23_9_2015 level05_mixDur_Aud 15_52_Block10-35_LHS log.txt,Block10-35,W,L,2015-09-23T15-51_Block10-35_LHS.h5,EMU_Block10-35_2015-09-23T15-51,EMU_Block10-35_2015-09-23T15-51_LHS_CX.mat,F1507_Emu_Block10-35_Vid0.avi,EMU_Block10-35_2015-09-23T15-51_LHS_position_tracking.mat,5,A
