Species,ID,Recside,Chan,Session,TaskType,Modality,TrialNum,NanIdx,RwdWinIdx,SNR,Duration,Difficulty,Correct,CorrectionTrial,Epoch,Peakrangenorm,Freq,Speed
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,7,0,0,24.7287241054424,2,0,0,0,Hold,0.230983034117628,7.4,1.42348122258952
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,7,0,0,24.7287241054424,2,0,0,0,Run,0.644123472322953,9.7,56.822752157372
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,7,0,0,24.7287241054424,2,0,0,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,8,0,1,24.7287241054424,2,0,1,0,Hold,0.128242618607069,6.6,3.58016622925469
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,8,0,1,24.7287241054424,2,0,1,0,Run,0.75920250906781,10.2,63.4791837636904
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,8,0,1,24.7287241054424,2,0,1,0,Rwd,0.284052076128031,7.5,3.34520502192609
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,10,0,0,24.7287241054424,2,0,1,0,Hold,0.570377371960775,7.6,2.76390391142829
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,10,0,0,24.7287241054424,2,0,1,0,Run,0.562436608930955,8.9,17.8818462696748
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,10,0,0,24.7287241054424,2,0,1,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,12,0,0,24.7287241054424,2,0,1,0,Hold,0.36849467722404,5.5,1.32643857439454
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,12,0,0,24.7287241054424,2,0,1,0,Run,0.714734763627435,10.2,67.3874609760057
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,12,0,0,24.7287241054424,2,0,1,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,13,0,1,24.7287241054424,2,0,1,0,Hold,0.33312715660908,8.3,1.61940507047033
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,13,0,1,24.7287241054424,2,0,1,0,Run,0.639597768445334,10.1,45.7704248968904
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,13,0,1,24.7287241054424,2,0,1,0,Rwd,0.151456641545095,4,1.76843012636655
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,14,0,1,24.7287241054424,2,0,1,0,Hold,0.243919418663052,7.3,2.48568653977576
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,14,0,1,24.7287241054424,2,0,1,0,Run,0.643518341128697,10.2,63.8036373692918
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,14,0,1,24.7287241054424,2,0,1,0,Rwd,0.0408908178038589,6.2,2.2174266706223
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,15,0,0,24.7287241054424,2,0,1,0,Hold,0.21467683313,7.5,2.6100221786612
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,15,0,0,24.7287241054424,2,0,1,0,Run,0.73015675788528,10.3,59.8163922822779
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,15,0,0,24.7287241054424,2,0,1,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,16,0,0,24.7287241054424,2,0,1,0,Hold,0.0910972320515919,9.4,0.145843177246334
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,16,0,0,24.7287241054424,2,0,1,0,Run,0.755727734890628,10,62.0375393960624
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,16,0,0,24.7287241054424,2,0,1,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,17,0,0,24.7287241054424,2,0,1,0,Hold,0.297851899538425,7.4,3.34737731835779
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,17,0,0,24.7287241054424,2,0,1,0,Run,0.733615469308935,10.5,64.5926801482205
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,17,0,0,24.7287241054424,2,0,1,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,18,0,0,24.7287241054424,2,0,0,0,Hold,0.136644251715373,7.2,1.55591426010409
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,18,0,0,24.7287241054424,2,0,0,0,Run,0.624333976455364,10.4,53.7350747124209
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,18,0,0,24.7287241054424,2,0,0,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,19,0,1,24.7287241054424,2,0,1,0,Hold,0.154753259230414,8,1.33800372920916
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,19,0,1,24.7287241054424,2,0,1,0,Run,0.643736566322101,10.4,59.0194549916949
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,19,0,1,24.7287241054424,2,0,1,0,Rwd,0.27265447918951,6.5,3.03191770516501
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,20,1,0,24.7287241054424,2,0,1,0,Hold,0.228343090463716,8.6,2.45242478361947
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,20,1,0,24.7287241054424,2,0,1,0,Run,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,20,1,0,24.7287241054424,2,0,1,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,21,0,1,24.7287241054424,2,0,1,0,Hold,0.356843650792318,7.6,3.19881156652771
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,21,0,1,24.7287241054424,2,0,1,0,Run,0.581248846249766,9.8,58.3525010717309
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,21,0,1,24.7287241054424,2,0,1,0,Rwd,0.353276243097522,8.2,1.73608959577077
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,22,0,1,24.7287241054424,2,0,1,0,Hold,0.472069018568746,6.7,4.27486596015997
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,22,0,1,24.7287241054424,2,0,1,0,Run,0.726816633326805,10.6,59.4145814667792
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,22,0,1,24.7287241054424,2,0,1,0,Rwd,0.229264327765035,6.6,2.24572332304812
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,23,1,1,24.7287241054424,2,0,1,0,Hold,0.453372010908128,7,2.59556319301436
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,23,1,1,24.7287241054424,2,0,1,0,Run,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,23,1,1,24.7287241054424,2,0,1,0,Rwd,0.252798092113885,6.1,0.729600709341911
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,24,1,0,24.7287241054424,2,0,1,0,Hold,0.476368889263466,7.4,2.37268745757059
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,24,1,0,24.7287241054424,2,0,1,0,Run,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,24,1,0,24.7287241054424,2,0,1,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,25,0,1,24.7287241054424,2,0,1,0,Hold,0.274075988820663,6.6,2.27594100882719
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,25,0,1,24.7287241054424,2,0,1,0,Run,0.637306502718505,10.6,59.3385718722232
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,25,0,1,24.7287241054424,2,0,1,0,Rwd,0.317212551793976,8.3,1.80451392627026
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,26,0,1,24.7287241054424,2,0,1,0,Hold,0.199976697744476,8,3.15930854018475
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,26,0,1,24.7287241054424,2,0,1,0,Run,0.74543468832378,10.4,56.6785489172582
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,26,0,1,24.7287241054424,2,0,1,0,Rwd,0.344802452026745,6.9,1.71500194215806
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,27,0,0,24.7287241054424,0.25,1,1,0,Hold,0.405929154855242,4,2.18076590305405
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,27,0,0,24.7287241054424,0.25,1,1,0,Run,0.628834493096553,10.1,27.8005531682737
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,27,0,0,24.7287241054424,0.25,1,1,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,28,0,1,24.7287241054424,0.25,1,1,0,Hold,0.373677373239129,7.8,1.83696928652293
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,28,0,1,24.7287241054424,0.25,1,1,0,Run,0.588050779639146,10.1,32.0721707091158
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,28,0,1,24.7287241054424,0.25,1,1,0,Rwd,0.162146134783479,8.3,2.92327638096132
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,29,0,1,24.7287241054424,0.25,1,1,0,Hold,0.382285638121696,7.9,2.74107869871606
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,29,0,1,24.7287241054424,0.25,1,1,0,Run,0.623891855506553,10.7,54.1825585735253
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,29,0,1,24.7287241054424,0.25,1,1,0,Rwd,0.0860379445628559,8.4,1.71881481032356
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,30,0,1,24.7287241054424,0.25,1,1,0,Hold,0.211170019222278,5.1,1.0935266038882
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,30,0,1,24.7287241054424,0.25,1,1,0,Run,0.690759127408071,10.1,57.6923818592575
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,30,0,1,24.7287241054424,0.25,1,1,0,Rwd,0.569633322678802,8.9,2.60787048143485
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,32,0,1,24.7287241054424,0.25,1,1,0,Hold,0.5149972170445,8.3,1.88280658208439
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,32,0,1,24.7287241054424,0.25,1,1,0,Run,0.725674878795155,10.5,53.3963680910527
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,32,0,1,24.7287241054424,0.25,1,1,0,Rwd,0.169242562308865,7.4,2.87406812891551
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,33,0,1,24.7287241054424,0.25,1,1,0,Hold,0.442582641545503,7.6,1.76438273172312
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,33,0,1,24.7287241054424,0.25,1,1,0,Run,0.610223877448024,10.2,61.3749482581485
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,33,0,1,24.7287241054424,0.25,1,1,0,Rwd,0.217732065635793,7.6,2.81461715565676
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,34,0,1,24.7287241054424,0.25,1,1,0,Hold,0.27840645380976,4,2.05392913440903
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,34,0,1,24.7287241054424,0.25,1,1,0,Run,0.761945634875169,10.4,57.199523141203
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,34,0,1,24.7287241054424,0.25,1,1,0,Rwd,0.323155934555541,8.6,2.36066748709521
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,35,0,1,24.7287241054424,0.25,1,1,0,Hold,0.452774250522261,7.2,2.7331331076062
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,35,0,1,24.7287241054424,0.25,1,1,0,Run,0.619853723206147,10.2,45.4018073440453
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,35,0,1,24.7287241054424,0.25,1,1,0,Rwd,0.208465898360086,7.8,3.33932078697145
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,36,0,1,24.7287241054424,0.25,1,1,0,Hold,0.319094413160066,7.2,0.867127784111464
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,36,0,1,24.7287241054424,0.25,1,1,0,Run,0.733070195004502,10.2,59.9449043101322
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,36,0,1,24.7287241054424,0.25,1,1,0,Rwd,0.214306164316357,7.3,1.98600705458612
