ID,IDside,Species,Date,TextFile,RecType,RecSide,RawDataFolder,CSCX,N_CSCX,ExtractedFolder,ExtractedFile,ExtractedEventFile,VidFile,TrackingFile,Level,Modality
"DRED","DREDR","R","2017-4-3","D-RED_2017-4-3 level05_mixDur_AUD 13-32-11.txt","T","R","2017-04-03_13-30-53","CSCX.ncs",1,"2017-04-03_13-30-53","2017-04-03_13-30-53_CX.mat","2017-04-03_13-30-53_Events.mat","VT1.mpg","2017-04-03_13-30-53_VT1_position_tracking.mat",5,"A"
"DRED","DREDR","R","2017-4-4","D-RED_2017-4-4 level05_mixDur_VIS 15-25-14.txt","T","R","2017-04-04_15-07-34, 2017-04-04_15-07-34, 2017-04-04_15-07-34","CSCX.ncs, CSCX_0001.ncs, CSCX_0002.ncs",3,"2017-04-04_15-07-34","2017-04-04_15-07-34_CX.mat","2017-04-04_15-07-34_Events.mat, 2017-04-04_15-07-34_Events_0001.mat, 2017-04-04_15-07-34_Events_0002.mat","VT1.mpg, VT1_0001.mpg, VT1_0002.mpg","2017-04-04_15-07-34_VT1_position_tracking.mat",5,"V"
"DRED","DREDR","R","2017-4-5","D-RED_2017-4-5 level05_mixDur_VIS 17-18-2.txt","T","R","2017-04-05_17-15-22","CSCX.ncs",1,"2017-04-05_17-15-22","2017-04-05_17-15-22_CX.mat","2017-04-05_17-15-22_Events.mat","VT1.mpg","2017-04-05_17-15-22_VT1_position_tracking.mat",5,"V"
"DRED","DREDR","R","2017-4-6","D-RED_2017-4-6 level06_SNR_AUD 14-47-16.txt","T","R","2017-04-06_14-46-18, 2017-04-06_14-46-18","CSCX.ncs, CSCX_0001.ncs",2,"2017-04-06_14-46-18","2017-04-06_14-46-18_CX.mat","2017-04-06_14-46-18_Events.mat, 2017-04-06_14-46-18_Events_0001.mat","VT1.mpg, VT1_0001.mpg","2017-04-06_14-46-18_VT1_position_tracking.mat",6,"A"
"DRED","DREDR","R","2017-4-7","D-RED_2017-4-7 level06_SNR_VIS 17-2-22.txt","T","R","2017-04-07_17-01-27","CSCX.ncs",1,"2017-04-07_17-01-27","2017-04-07_17-01-27_CX.mat","2017-04-07_17-01-27_Events.mat","VT1.mpg","2017-04-07_17-01-27_VT1_position_tracking.mat",6,"V"
"DRED","DREDR","R","2017-4-8","D-RED_2017-4-8 level05_mixDur_AUD 14-58-23.txt","T","R","2017-04-08_14-56-07, 2017-04-08_14-56-07, 2017-04-08_14-56-07, 2017-04-08_14-56-07","CSCX.ncs, CSCX_0001.ncs, CSCX_0002.ncs, CSCX_0003.ncs",4,"2017-04-08_14-56-07","2017-04-08_14-56-07_CX.mat","2017-04-08_14-56-07_Events.mat, 2017-04-08_14-56-07_Events_0001.mat, 2017-04-08_14-56-07_Events_0002.mat, 2017-04-08_14-56-07_Events_0003.mat","VT1.mpg, VT1_0001.mpg, VT1_0002.mpg, VT1_0003.mpg","2017-04-08_14-56-07_VT1_position_tracking.mat",5,"A"
"DRED","DREDR","R","2017-4-10","D-RED_2017-4-10 level05_mixDur_VIS 18-44-43.txt","T","R","2017-04-10_18-42-34","CSCX.ncs",1,"2017-04-10_18-42-34","2017-04-10_18-42-34_CX.mat","2017-04-10_18-42-34_Events.mat","VT1.mpg","2017-04-10_18-42-34_VT1_position_tracking.mat",5,"V"
"DRED","DREDR","R","2017-4-11","D-RED_2017-4-11 level06_SNR_AUD 13-44-13.txt","T","R","2017-04-11_13-37-56, 2017-04-11_13-37-56, 2017-04-11_13-37-56","CSCX.ncs, CSCX_0001.ncs, CSCX_0002.ncs",3,"2017-04-11_13-37-56","2017-04-11_13-37-56_CX.mat","2017-04-11_13-37-56_Events.mat, 2017-04-11_13-37-56_Events_0001.mat, 2017-04-11_13-37-56_Events_0002.mat","VT1.mpg, VT1_0001.mpg, VT1_0002.mpg","2017-04-11_13-37-56_VT1_position_tracking.mat",6,"A"
"DRED","DREDR","R","2017-4-12","D-RED_2017-4-12 level06_SNR_VIS 13-40-47.txt","T","R","2017-04-12_13-39-31, 2017-04-12_13-39-31, 2017-04-12_13-39-31, 2017-04-12_13-39-31, 2017-04-12_13-39-31, 2017-04-12_13-39-31, 2017-04-12_13-39-31","CSCX.ncs, CSCX_0001.ncs, CSCX_0002.ncs, CSCX_0003.ncs, CSCX_0004.ncs, CSCX_0005.ncs, CSCX_0006.ncs",7,"2017-04-12_13-39-31","2017-04-12_13-39-31_CX.mat","2017-04-12_13-39-31_Events.mat, 2017-04-12_13-39-31_Events_0001.mat, 2017-04-12_13-39-31_Events_0002.mat, 2017-04-12_13-39-31_Events_0003.mat, 2017-04-12_13-39-31_Events_0004.mat, 2017-04-12_13-39-31_Events_0005.mat, 2017-04-12_13-39-31_Events_0006.mat","VT1.mpg, VT1_0001.mpg, VT1_0002.mpg, VT1_0003.mpg, VT1_0004.mpg, VT1_0005.mpg, VT1_0006.mpg","2017-04-12_13-39-31_VT1_position_tracking.mat",6,"V"
"DRED","DREDR","R","2017-4-13","D-RED_2017-4-13 level05_mixDur_AUD 15-16-27.txt","T","R","2017-04-13_15-15-01, 2017-04-13_15-15-01, 2017-04-13_15-15-01, 2017-04-13_15-15-01, 2017-04-13_15-15-01","CSCX.ncs, CSCX_0001.ncs, CSCX_0002.ncs, CSCX_0004.ncs, CSCX_0005.ncs",5,"2017-04-13_15-15-01","2017-04-13_15-15-01_CX.mat","2017-04-13_15-15-01_Events.mat, 2017-04-13_15-15-01_Events_0001.mat, 2017-04-13_15-15-01_Events_0002.mat, 2017-04-13_15-15-01_Events_0004.mat, 2017-04-13_15-15-01_Events_0005.mat","VT1.mpg, VT1_0001.mpg, VT1_0002.mpg, VT1_0004.mpg, VT1_0005.mpg","2017-04-13_15-15-01_VT1_position_tracking.mat",5,"A"
